Cell_Name,KPI,MAE,RMSE,MAPE (%),Accuracy (%),Data_Mean
enodebG32B012,prb_dl_used,3.78,7.92,709974686309.11,0,66.12
enodebB9,ps_traffic_mb,515.98,686.09,4908704122005.14,0,2512.05
enodebB9,avg_rrc_connected_user,6.08,8.26,232403198890.87,0,54.69
enodebB9,prb_dl_used,98.76,129.01,791520436625.16,0,588.74
enodebF91B281,ps_traffic_mb,210.79,269.32,6144258181334.11,0,497.65
enodebF91B281,avg_rrc_connected_user,2.51,3.0,156719639913.3,0,15.25
enodebF91B281,prb_dl_used,108.44,149.46,4029501517656.21,0,305.49
enodebGA3,ps_traffic_mb,174.5,234.19,2144035339389.48,0,656.93
enodebGA3,avg_rrc_connected_user,3.41,4.15,163164933536.72,0,24.24
enodebGA3,prb_dl_used,54.32,70.69,1027997652719.03,0,196.22
enodebA3,ps_traffic_mb,111.61,143.4,3812379519170.06,0,418.26
enodebA3,avg_rrc_connected_user,2.58,3.06,150002777596.8,0,12.77
enodebA3,prb_dl_used,26.15,35.19,2304052273451.67,0,116.98
enodebJ9,ps_traffic_mb,153.36,266.27,8188883541.19,0,325.47
enodebJ9,avg_rrc_connected_user,2.72,3.52,39182831868.3,0,11.15
enodebJ9,prb_dl_used,18.24,36.07,962702194864.65,0,83.73
enodebB12B072,ps_traffic_mb,1.63,4.62,113919468082.38,0,1.23
enodebB12B072,prb_dl_used,2.32,7.31,830748796465.22,0,65.39
enodebH8,ps_traffic_mb,258.2,356.36,1031298319812.32,0,699.97
enodebH8,avg_rrc_connected_user,3.3,4.12,73195874717.39,0,16.94
enodebH8,prb_dl_used,59.56,79.5,1176017284423.12,0,206.12
enodebF121,ps_traffic_mb,147.51,254.19,1382814566949.92,0,268.78
enodebF121,avg_rrc_connected_user,1.88,2.33,28094848039.89,0,6.31
enodebF121,prb_dl_used,14.1,26.49,916222254448.12,0,77.79
enodebI7,ps_traffic_mb,291.82,385.75,5819482167611.18,0,1091.89
enodebI7,avg_rrc_connected_user,3.29,4.14,213704665512.42,0,28.97
enodebI7,prb_dl_used,69.16,93.49,1427666664152.05,0,259.66
enodebH7,ps_traffic_mb,60.28,94.96,49460332115.92,0,137.12
enodebH7,avg_rrc_connected_user,1.02,1.49,3859957096.88,0,3.71
enodebH7,prb_dl_used,16.54,26.71,1127964337681.57,0,90.81
enodebE41B281,ps_traffic_mb,180.69,236.21,6132695515974.96,0,911.49
enodebE41B281,avg_rrc_connected_user,3.71,4.66,208400408440.93,0,22.33
enodebE41B281,prb_dl_used,184.7,235.03,4143039703393.92,0,905.85
enodebG7,ps_traffic_mb,66.85,94.75,1945.82,0,90.84
enodebG7,avg_rrc_connected_user,1.11,1.32,373629303.18,0,2.4
enodebG7,prb_dl_used,8.64,15.53,710712432871.3,0,69.24
enodebF11B011,ps_traffic_mb,178.26,278.79,616750081760.58,0,360.9
enodebF11B011,avg_rrc_connected_user,2.47,3.19,42768756584.61,0,8.71
enodebF11B011,prb_dl_used,31.46,53.05,1021633386633.39,0,102.58
enodebE31B011,ps_traffic_mb,104.68,150.44,826359035857.11,0,224.69
enodebE31B011,avg_rrc_connected_user,0.76,0.98,6528961223.51,0,2.98
enodebE31B011,prb_dl_used,22.37,39.01,1701427221315.82,0,88.65
enodebI3,ps_traffic_mb,157.56,219.27,362384160395.37,0,520.8
enodebI3,avg_rrc_connected_user,2.11,2.63,95207889890.15,0,14.03
enodebI3,prb_dl_used,46.38,67.43,1023012161279.1,0,155.61
enodebD3,ps_traffic_mb,476.16,626.93,4096070925439.13,0,972.69
enodebD3,avg_rrc_connected_user,2.03,2.62,162187486902.09,0,11.93
enodebD3,prb_dl_used,140.88,176.52,2077512105344.98,0,338.56
enodebJ11B012,prb_dl_used,2.3,7.31,830685456596.01,0,65.39
